区域,板块,小区,户型,面积,总价,单价,成交日期,楼层,装修
浦东,高行,紫翠苑,3室2厅,124.05平米,400万,32245元/平,2016-04-08,中层/11层,精装
浦东,高行,紫翠苑,3室2厅,124.05平米,400万,32245元/平,2016-04-08,中层/11层,精装
浦东,合庆,环庆新苑,2室1厅,66.01平米,203万,30752元/平,2016-04-08,高层/6层,精装
浦东,康桥,康桥月苑,1室1厅,57.5平米,180万,31304元/平,2016-04-08,中层/6层,精装
浦东,康桥,康桥月苑,1室1厅,57.5平米,180万,31304元/平,2016-04-08,中层/6层,精装
浦东,陆家嘴,世茂滨江花园,2室2厅,126.39平米,860万,68043元/平,2016-04-08,中层/56层,精装
浦东,陆家嘴,世茂滨江花园,2室2厅,126.39平米,860万,68043元/平,2016-04-08,中层/56层,精装
浦东,陆家嘴,世茂滨江花园,2室2厅,126.39平米,860万,68043元/平,2016-04-08,中层/56层,精装
浦东,陆家嘴,世茂滨江花园,2室2厅,126.39平米,860万,68043元/平,2016-04-08,中层/56层,精装
浦东,陆家嘴,世茂滨江花园,2室2厅,126.39平米,860万,68043元/平,2016-04-08,中层/56层,精装
浦东,陆家嘴,世茂滨江花园,2室2厅,126.39平米,860万,68043元/平,2016-04-08,中层/56层,精装
浦东,泥城镇,云锦名苑,2室2厅,83.43平米,90万,10787元/平,2016-04-08,中层/6层,毛坯
浦东,泥城镇,云锦新苑,1室1厅,47.01平米,54万,11486元/平,2016-04-08,低层/6层,简装
浦东,源深,梅园三街坊,1室0厅,35.27平米,364万,103203元/平,2016-04-08,高层/6层,中装
浦东,张江,玉兰香苑（二期）,1室1厅,57.56平米,233万,40479元/平,2016-04-08,中层/6层,简装
浦东,张江,玉兰香苑（二期）,1室1厅,57.56平米,233万,40479元/平,2016-04-08,中层/6层,简装
浦东,周浦,绿地景汇佳苑,2室2厅,95.94平米,330万,34396元/平,2016-04-08,中层/21层,毛坯
闵行,航华,丹桂花园,3室2厅,124.4平米,319万,25643元/平,2016-04-08,高层/6层,精装
闵行,静安新城,古美小区,2室1厅,60.46平米,253万,41845元/平,2016-04-08,高层/6层,中装
闵行,静安新城,古美小区,2室1厅,60.46平米,253万,41845元/平,2016-04-08,高层/6层,中装
闵行,静安新城,东兰雅苑,1室1厅,60.62平米,265万,43714元/平,2016-04-08,高层/7层,精装
闵行,龙柏,龙柏二村,3室1厅,77.02平米,310万,40249元/平,2016-04-08,高层/6层,简装
闵行,龙柏,龙柏二村,3室1厅,77.02平米,310万,40249元/平,2016-04-08,高层/6层,简装
闵行,龙柏,龙柏二村,3室1厅,77.02平米,310万,40249元/平,2016-04-08,高层/6层,简装
闵行,龙柏,龙柏二村,3室1厅,77.02平米,310万,40249元/平,2016-04-08,高层/6层,简装
闵行,龙柏,俊领国际酒店公寓,1室1厅,35.57平米,80万,22490元/平,2016-04-08,高层/5层,中装
闵行,老闵行,新闵小区,2室1厅,51.07平米,125万,24476元/平,2016-04-08,高层/6层,简装
闵行,老闵行,华江小区,2室1厅,49.04平米,105万,21411元/平,2016-04-08,低层/6层,中装
闵行,七宝,惠明苑,3室2厅,127.25平米,490万,38506元/平,2016-04-08,低层/12层,精装
宝山,高境,逸仙一村,2室1厅,56.99平米,240万,42112元/平,2016-04-08,中层/6层,精装
宝山,高境,逸仙一村,2室1厅,56.99平米,240万,42112元/平,2016-04-08,中层/6层,精装
宝山,罗店,罗溪花苑,2室2厅,82.56平米,175万,21196元/平,2016-04-08,中层/6层,精装
宝山,罗店,罗新苑,2室1厅,83.45平米,159万,19053元/平,2016-04-08,高层/6层,毛坯
宝山,上大,绿地领海,2室1厅,67.79平米,94万,13866元/平,2016-04-08,低层/18层,精装
宝山,上大,绿地领海,2室1厅,67.79平米,94万,13866元/平,2016-04-08,低层/18层,精装
宝山,淞南,淞南三村,2室1厅,57.42平米,208万,36224元/平,2016-04-08,高层/6层,简装
宝山,淞南,淞南三村,2室1厅,57.42平米,208万,36224元/平,2016-04-08,高层/6层,简装
徐汇,长桥,长桥新村,1室1厅,52.29平米,190万,36335元/平,2016-04-08,低层/6层,毛坯
徐汇,徐家汇,莱诗邸,3室2厅,159.15平米,1300万,81683元/平,2016-04-08,高层/33层,精装
徐汇,徐家汇,汇金广场,2室2厅,132.18平米,750万,56740元/平,2016-04-08,中层/28层,精装
徐汇,斜土路,瑞金南苑,2室2厅,113.68平米,850万,74771元/平,2016-04-08,低层/30层,精装
徐汇,斜土路,瑞金尊邸,1室2厅,89.2平米,630万,70627元/平,2016-04-08,高层/18层,豪装
普陀,曹杨,安天大厦,1室0厅,40.08平米,65万,16217元/平,2016-04-08,高层/15层,中装
普陀,光新,管弄五六街坊,2室1厅,59.95平米,265万,44203元/平,2016-04-08,低层/6层,中装
普陀,光新,管弄五六街坊,2室1厅,59.95平米,265万,44203元/平,2016-04-08,低层/6层,中装
普陀,桃浦,同进理想城,2室1厅,51.23平米,123万,24009元/平,2016-04-08,中层/9层,毛坯
普陀,桃浦,同进理想城,1室1厅,40.6平米,75万,18472元/平,2016-04-08,高层/9层,
普陀,桃浦,桃浦七村雪松苑,2室1厅,49.52平米,155万,31300元/平,2016-04-08,高层/6层,简装
普陀,桃浦,桃浦七村雪松苑,2室1厅,49.52平米,155万,31300元/平,2016-04-08,高层/6层,简装
普陀,桃浦,桃浦七村雪松苑,2室1厅,49.52平米,155万,31300元/平,2016-04-08,高层/6层,简装
普陀,桃浦,桃浦六村绿春苑,1室1厅,42.51平米,108万,25405元/平,2016-04-08,高层/6层,毛坯
普陀,桃浦,桃浦六村绿春苑,2室1厅,62.4平米,168万,26923元/平,2016-04-08,高层/6层,中装
普陀,桃浦,桃浦六村绿春苑,1室1厅,42.51平米,108万,25405元/平,2016-04-08,高层/6层,毛坯
普陀,桃浦,桃浦六村绿春苑,2室1厅,62.4平米,168万,26923元/平,2016-04-08,高层/6层,中装
杨浦,黄兴公园,九州花苑,4室2厅,136.42平米,500万,36651元/平,2016-04-08,中层/25层,中装
长宁,天山,天山五村,1室0厅,28.77平米,185万,64303元/平,2016-04-08,低层/4层,简装
长宁,镇宁路,金桥花园,3室2厅,106.83平米,800万,74885元/平,2016-04-08,中层/29层,简装
长宁,中山公园,虹桥馨苑,3室2厅,129.89平米,780万,60050元/平,2016-04-08,低层/18层,豪装
松江,松江新城,久阳文华府邸（公寓）,2室1厅,90.0平米,181万,20111元/平,2016-04-08,低层/15层,精装
松江,松江新城,久阳文华府邸（公寓）,2室1厅,90.0平米,181万,20111元/平,2016-04-08,低层/15层,精装
松江,莘闵别墅,同润加州（公寓）,2室2厅,92.42平米,250万,27050元/平,2016-04-08,低层/5层,精装
嘉定,安亭,昌吉路231弄,2室1厅,49.4平米,88万,17813元/平,2016-04-08,低层/6层,中装
嘉定,嘉定老城,民乐社区南苑六村,2室1厅,45.12平米,90万,19946元/平,2016-04-08,中层/6层,中装
嘉定,江桥,中虹华苑,2室2厅,73.06平米,280万,38324元/平,2016-04-08,高层/5层,毛坯
黄浦,打浦桥,南园小区,2室1厅,78.4平米,516万,65816元/平,2016-04-08,高层/29层,中装
黄浦,黄浦滨江,金外滩花园,3室2厅,170.72平米,1450万,84934元/平,2016-04-08,高层/31层,精装
黄浦,黄浦滨江,金外滩花园,3室2厅,170.72平米,1450万,84934元/平,2016-04-08,高层/31层,精装
黄浦,南京东路,中福大厦,1室0厅,37.55平米,120万,31957元/平,2016-04-08,低层/77层,精装
虹口,凉城,文苑小区（虹口）,1室1厅,49.42平米,218万,44111元/平,2016-04-08,低层/6层,中装
奉贤,南桥,贝港南区,2室1厅,56.22平米,103万,18320元/平,2016-04-08,中层/6层,精装
奉贤,南桥,贝港南区,2室1厅,56.22平米,103万,18320元/平,2016-04-08,中层/6层,精装
奉贤,西渡,鸿宝一村,1室1厅,49.9平米,82万,16432元/平,2016-04-08,高层/6层,毛坯
奉贤,西渡,鸿宝一村,1室1厅,49.9平米,82万,16432元/平,2016-04-08,高层/6层,毛坯
奉贤,西渡,鸿宝一村,1室1厅,49.9平米,82万,16432元/平,2016-04-08,高层/6层,毛坯
浦东,曹路,金领国际（公寓）,1室1厅,41.09平米,145万,35288元/平,2016-04-07,低层/11层,简装
浦东,曹路,金领国际（公寓）,1室1厅,41.09平米,145万,35288元/平,2016-04-07,低层/11层,简装
浦东,曹路,金领国际（公寓）,1室1厅,41.09平米,145万,35288元/平,2016-04-07,低层/11层,简装
浦东,三林,思浦小区,1室1厅,34.3平米,165万,48104元/平,2016-04-07,高层/6层,中装
浦东,三林,绿地香颂（浦东）（别墅）,5室2厅,270.1平米,1400万,51832元/平,2016-04-07,地上3层,毛坯
浦东,杨东,东城新村,1室1厅,53.55平米,399万,74509元/平,2016-04-07,高层/6层,精装
浦东,周浦,中金海棠湾（公寓）,2室2厅,99.55平米,240万,24108元/平,2016-04-07,低层/17层,毛坯
浦东,周浦,繁荣安居,2室1厅,67.99平米,230万,33828元/平,2016-04-07,中层/5层,简装
闵行,春申,上海星河湾,4室2厅,321.42平米,1250万,38889元/平,2016-04-07,中层/28层,精装
闵行,老闵行,昆阳小区,2室2厅,88.76平米,155万,17462元/平,2016-04-07,低层/6层,精装
闵行,老闵行,昆阳小区,2室2厅,88.76平米,155万,17462元/平,2016-04-07,低层/6层,精装
闵行,老闵行,昆阳小区,2室2厅,88.76平米,155万,17462元/平,2016-04-07,低层/6层,精装
闵行,七宝,白雪公主,2室2厅,95.73平米,470万,49096元/平,2016-04-07,高层/11层,精装
闵行,莘庄,水清苑,2室1厅,64.43平米,210万,32593元/平,2016-04-07,高层/6层,中装
闵行,颛桥,银桥花园,3室2厅,138.16平米,350万,25332元/平,2016-04-07,低层/3层,精装
宝山,大场镇,君邑地中海（公寓）,2室2厅,99.49平米,405万,40707元/平,2016-04-07,中层/18层,精装
宝山,高境,逸仙一村,2室1厅,61.15平米,220万,35977元/平,2016-04-07,低层/6层,中装
宝山,高境,逸仙一村,2室1厅,61.15平米,220万,35977元/平,2016-04-07,低层/6层,中装
宝山,高境,高境欣苑,2室2厅,108.58平米,520万,47890元/平,2016-04-07,中层/6层,精装
宝山,共康,共康八村,2室1厅,67.31平米,185万,27484元/平,2016-04-07,高层/6层,中装
宝山,上大,绿地领海,1室1厅,47.58平米,70万,14712元/平,2016-04-07,中层/14层,毛坯
宝山,上大,绿地领海,0室0厅,53.88平米,70万,12991元/平,2016-04-07,高层/16层,精装
宝山,上大,绿地领海,1室1厅,47.58平米,70万,14712元/平,2016-04-07,中层/14层,毛坯
宝山,上大,绿地领海,0室0厅,53.88平米,70万,12991元/平,2016-04-07,高层/16层,精装
普陀,武宁,绿地世纪城（酒店式公寓）,1室1厅,68.44平米,245万,35797元/平,2016-04-07,中层/30层,精装
杨浦,黄兴公园,控江四村,2室1厅,48.76平米,188万,38556元/平,2016-04-07,高层/6层,中装
杨浦,黄兴公园,控江四村,2室1厅,48.76平米,188万,38556元/平,2016-04-07,高层/6层,中装
杨浦,黄兴公园,控江四村,2室1厅,48.76平米,188万,38556元/平,2016-04-07,高层/6层,中装
杨浦,新江湾城,华润置地橡树湾,4室2厅,222.75平米,1400万,62850元/平,2016-04-07,中层/4层,毛坯
杨浦,新江湾城,华润置地橡树湾,4室2厅,222.75平米,1400万,62850元/平,2016-04-07,中层/4层,毛坯
杨浦,新江湾城,华润置地橡树湾,4室2厅,222.75平米,1400万,62850元/平,2016-04-07,中层/4层,毛坯
杨浦,周家嘴路,吴家浜小区,1室0厅,29.77平米,135万,45347元/平,2016-04-07,低层/5层,简装
杨浦,周家嘴路,双阳路101弄,1室1厅,37.36平米,137万,36670元/平,2016-04-07,高层/6层,精装
杨浦,周家嘴路,双阳路101弄,1室1厅,37.36平米,137万,36670元/平,2016-04-07,高层/6层,精装
长宁,北新泾,通协小区,2室2厅,79.4平米,445万,56045元/平,2016-04-07,高层/6层,精装
长宁,天山,仁恒河滨花园,4室2厅,246.69平米,2130万,86343元/平,2016-04-07,低层/32层,朝南北
长宁,天山,仁恒河滨花园,4室2厅,246.69平米,2130万,86343元/平,2016-04-07,低层/32层,朝南北
长宁,天山,仁恒河滨花园,4室2厅,246.69平米,2130万,86343元/平,2016-04-07,低层/32层,朝南北
长宁,仙霞,水霞小区,1室1厅,45.66平米,325万,71178元/平,2016-04-07,中层/6层,中装
长宁,仙霞,虹桥华庭,4室2厅,205.69平米,1370万,66605元/平,2016-04-07,中层/32层,精装
长宁,镇宁路,东方剑桥,2室2厅,102.16平米,850万,83202元/平,2016-04-07,高层/36层,精装
长宁,中山公园,城宁花苑,2室2厅,103.0平米,750万,72815元/平,2016-04-07,低层/22层,精装
松江,松江老城,玉树公寓,3室2厅,133.04平米,255万,19167元/平,2016-04-07,高层/6层,精装
松江,松江老城,森林公馆乐莫苑,2室2厅,34.95平米,93万,26609元/平,2016-04-07,高层/6层,精装
松江,松江新城,锋尚99,2室2厅,41.95平米,78万,18593元/平,2016-04-07,高层/13层,精装
松江,莘闵别墅,荣盛名邸（公寓）,2室2厅,91.91平米,280万,30464元/平,2016-04-07,低层/18层,精装
松江,莘闵别墅,荣盛名邸（公寓）,2室2厅,91.91平米,280万,30464元/平,2016-04-07,低层/18层,精装
松江,莘闵别墅,河谷3号,3室2厅,129.48平米,375万,28962元/平,2016-04-07,地上3层,毛坯
松江,莘闵别墅,河谷3号,5室3厅,129.16平米,370万,28646元/平,2016-04-07,地上3层,毛坯
嘉定,嘉定老城,三皇桥小区,2室1厅,68.75平米,118万,17163元/平,2016-04-07,高层/7层,中装
黄浦,黄浦滨江,福鑫大楼,2室1厅,67.32平米,490万,72786元/平,2016-04-07,高层/22层,中装
黄浦,蓬莱公园,中福花苑,1室1厅,42.46平米,360万,84785元/平,2016-04-07,中层/22层,中装
黄浦,蓬莱公园,中福花苑,1室1厅,42.46平米,360万,84785元/平,2016-04-07,中层/22层,中装
黄浦,蓬莱公园,中福花苑,1室1厅,42.46平米,360万,84785元/平,2016-04-07,中层/22层,中装
黄浦,人民广场,金色家园,2室2厅,134.35平米,1050万,78154元/平,2016-04-07,低层/30层,豪装
黄浦,五里桥,江南世纪新苑,2室2厅,115.87平米,735万,63433元/平,2016-04-07,中层/25层,精装
黄浦,新天地,重庆公寓,2室1厅,109.38平米,810万,74053元/平,2016-04-07,低层/5层,精装
闸北,彭浦,和源名城,2室2厅,80.49平米,400万,49695元/平,2016-04-07,高层/32层,精装
闸北,彭浦,和源名城,2室2厅,80.49平米,400万,49695元/平,2016-04-07,高层/32层,精装
闸北,彭浦,康平小区,2室0厅,52.52平米,142万,27037元/平,2016-04-07,高层/6层,中装
闸北,西藏北路,绿地海悦,1室2厅,54.33平米,140万,25768元/平,2016-04-07,高层/29层,精装
闸北,永和,永和二村,1室0厅,31.37平米,90万,28689元/平,2016-04-07,高层/6层,毛坯
闸北,永和,永和二村,1室0厅,31.37平米,90万,28689元/平,2016-04-07,高层/6层,毛坯
虹口,凉城,新中新村,1室1厅,39.17平米,105万,26806元/平,2016-04-07,高层/5层,简装
虹口,曲阳,东体小区,2室1厅,52.83平米,295万,55839元/平,2016-04-07,高层/6层,精装
青浦,徐泾,上海捷克住宅小区（公寓）,2室2厅,88.76平米,275万,30982元/平,2016-04-07,低层/7层,毛坯
青浦,盈浦,庆丰新村,2室1厅,44.31平米,83万,18731元/平,2016-04-07,高层/5层,精装
浦东,北蔡,天池一村,1室1厅,41.25平米,190万,46060元/平,2016-04-06,高层/6层,简装
浦东,北蔡,绿川馨康苑,2室2厅,84.39平米,420万,49768元/平,2016-04-06,中层/6层,精装
浦东,碧云,维诗凯亚,6室2厅,376.03平米,3751万,99752元/平,2016-04-06,地上3层,精装
浦东,高东,高东新村,1室1厅,37.24平米,115万,30880元/平,2016-04-06,低层/6层,简装
浦东,高东,高东新村,1室1厅,37.24平米,115万,30880元/平,2016-04-06,低层/6层,简装
浦东,高东,高行绿洲（三期）,2室1厅,79.0平米,265万,33544元/平,2016-04-06,中层/14层,中装
浦东,惠南,龙源星城,1室1厅,46.06平米,50万,10855元/平,2016-04-06,高层/6层,简装
浦东,金桥,五莲一小区,2室1厅,70.52平米,230万,32614元/平,2016-04-06,高层/18层,简装
浦东,金桥,中大苑,2室2厅,70.78平米,240万,33907元/平,2016-04-06,高层/6层,精装
浦东,泥城镇,云锦雅苑,2室1厅,83.64平米,88万,10521元/平,2016-04-06,低层/6层,简装
浦东,三林,香樟苑（浦东）,2室1厅,66.41平米,325万,48938元/平,2016-04-06,中层/6层,精装
浦东,张江,汤臣高尔夫（公寓）,3室2厅,140.19平米,830万,59205元/平,2016-04-06,高层/8层,精装
浦东,周浦,欧风家园,1室1厅,53.51平米,183万,34199元/平,2016-04-06,高层/5层,精装
浦东,周浦,欧风家园,1室1厅,53.51平米,183万,34199元/平,2016-04-06,高层/5层,精装
闵行,古美,蔚蓝城市花园,3室2厅,125.28平米,587万,46855元/平,2016-04-06,低层/11层,简装
闵行,静安新城,静安新城（十二区）,1室1厅,56.34平米,168万,29818元/平,2016-04-06,高层/6层,精装
闵行,静安新城,大上海国际花园（十七区）,3室2厅,145.63平米,810万,55620元/平,2016-04-06,中层/11层,精装
闵行,金虹桥,古北新城,1室2厅,70.51平米,380万,53893元/平,2016-04-06,高层/5层,毛坯
闵行,金虹桥,古北新城,1室2厅,70.51平米,380万,53893元/平,2016-04-06,高层/5层,毛坯
闵行,金虹桥,吴中路940弄,1室1厅,47.19平米,193万,40898元/平,2016-04-06,中层/6层,精装
闵行,老闵行,红旗小区,1室1厅,34.78平米,75万,21564元/平,2016-04-06,高层/4层,中装
闵行,老闵行,红旗小区,1室1厅,34.78平米,75万,21564元/平,2016-04-06,高层/4层,中装
闵行,老闵行,景谷苑,2室2厅,83.33平米,165万,19800元/平,2016-04-06,高层/6层,毛坯
闵行,梅陇,罗阳七村,2室1厅,71.18平米,280万,39336元/平,2016-04-06,低层/6层,中装
闵行,梅陇,罗阳七村,2室1厅,71.18平米,280万,39336元/平,2016-04-06,低层/6层,中装
闵行,梅陇,罗阳七村,2室1厅,71.18平米,280万,39336元/平,2016-04-06,低层/6层,中装
闵行,七宝,黎明花园,2室1厅,77.4平米,240万,31007元/平,2016-04-06,高层/6层,精装
闵行,七宝,碧林湾南苑（华友路260弄）,3室2厅,133.57平米,585万,43797元/平,2016-04-06,中层/14层,精装
闵行,吴泾,永德小区,2室1厅,53.39平米,101万,18917元/平,2016-04-06,高层/5层,精装
闵行,莘庄,莘城公寓,2室2厅,111.87平米,425万,37990元/平,2016-04-06,低层/18层,精装
闵行,颛桥,颛溪五村,3室2厅,104.74平米,250万,23868元/平,2016-04-06,高层/6层,精装
闵行,颛桥,颛溪五村,3室2厅,104.74平米,250万,23868元/平,2016-04-06,高层/6层,精装
宝山,淞南,淞南十村,2室1厅,60.09平米,147万,24463元/平,2016-04-06,高层/6层,简装
宝山,淞南,淞南十村,2室1厅,60.09平米,147万,24463元/平,2016-04-06,高层/6层,简装
宝山,月浦,乐业五村,2室1厅,55.87平米,141万,25237元/平,2016-04-06,高层/6层,精装
宝山,月浦,月浦六村,2室1厅,54.7平米,124万,22669元/平,2016-04-06,高层/6层,精装
宝山,张庙,泗塘四村,1室1厅,40.13平米,123万,30650元/平,2016-04-06,中层/6层,毛坯
徐汇,康健,寿昌坊,2室1厅,53.15平米,272万,51175元/平,2016-04-06,中层/6层,中装
徐汇,康健,樱花园（徐汇）,2室1厅,61.09平米,310万,50744元/平,2016-04-06,中层/6层,中装
徐汇,田林,田林十一村,1室0厅,29.19平米,212万,72627元/平,2016-04-06,低层/6层,精装
徐汇,万体馆,鹏欣公寓,3室2厅,167.82平米,700万,41711元/平,2016-04-06,中层/20层,朝北
徐汇,徐家汇,创世纪花园,3室2厅,124.14平米,980万,78943元/平,2016-04-06,高层/13层,精装
徐汇,徐家汇,爱乐大厦,2室2厅,87.44平米,435万,49748元/平,2016-04-06,低层/26层,简装
徐汇,植物园,鑫隆花园,3室1厅,104.64平米,365万,34881元/平,2016-04-06,中层/24层,精装
杨浦,黄兴公园,延吉七村,1室1厅,35.6平米,150万,42134元/平,2016-04-06,高层/6层,精装
杨浦,黄兴公园,延吉七村,1室1厅,35.6平米,150万,42134元/平,2016-04-06,高层/6层,精装
杨浦,黄兴公园,汇元坊,2室2厅,94.68平米,595万,62843元/平,2016-04-06,低层/11层,中装
杨浦,控江路,延吉东路5弄,1室0厅,28.78平米,116万,40305元/平,2016-04-06,高层/6层,简装
杨浦,五角场,政通路118弄,2室1厅,64.24平米,240万,37359元/平,2016-04-06,低层/7层,精装
杨浦,周家嘴路,张家浜小区,1室0厅,38.75平米,152万,39225元/平,2016-04-06,高层/7层,精装
杨浦,周家嘴路,大居苑,3室3厅,200.21平米,770万,38459元/平,2016-04-06,中层/7层,精装
长宁,古北,圣美邸,2室2厅,121.49平米,700万,57617元/平,2016-04-06,低层/16层,
长宁,新华路,长顺小区,1室0厅,30.26平米,174万,57501元/平,2016-04-06,高层/5层,精装
长宁,中山公园,绿地豪生酒店,1室1厅,50.85平米,300万,58997元/平,2016-04-06,低层/30层,精装
长宁,中山公园,绿地豪生酒店,1室1厅,50.85平米,300万,58997元/平,2016-04-06,低层/30层,精装
长宁,中山公园,中阳小区,1室1厅,41.02平米,233万,56801元/平,2016-04-06,中层/6层,简装
松江,九亭,奥林匹克花园,2室2厅,88.91平米,330万,37116元/平,2016-04-06,低层/13层,精装
松江,九亭,奥林匹克花园,2室2厅,88.91平米,330万,37116元/平,2016-04-06,低层/13层,精装
松江,九亭,奥林匹克花园,2室2厅,88.91平米,330万,37116元/平,2016-04-06,低层/13层,精装
松江,九亭,奥林匹克花园,2室2厅,88.91平米,330万,37116元/平,2016-04-06,低层/13层,精装
松江,九亭,奥林匹克花园,2室2厅,88.91平米,330万,37116元/平,2016-04-06,低层/13层,精装
松江,九亭,奥林匹克花园,2室2厅,88.91平米,330万,37116元/平,2016-04-06,低层/13层,精装
松江,九亭,奥林匹克花园,2室2厅,88.91平米,330万,37116元/平,2016-04-06,低层/13层,精装
松江,九亭,奥林匹克花园,2室2厅,88.91平米,330万,37116元/平,2016-04-06,低层/13层,精装
松江,九亭,奥林匹克花园,2室2厅,88.91平米,330万,37116元/平,2016-04-06,低层/13层,精装
松江,九亭,贝尚湾（公寓）,4室2厅,179.5平米,620万,34540元/平,2016-04-06,高层/15层,精装
松江,九亭,贝尚湾（公寓）,4室2厅,179.5平米,620万,34540元/平,2016-04-06,高层/15层,精装
松江,九亭,贝尚湾（公寓）,4室2厅,179.5平米,620万,34540元/平,2016-04-06,高层/15层,精装
松江,九亭,贝尚湾（公寓）,4室2厅,179.5平米,620万,34540元/平,2016-04-06,高层/15层,精装
松江,泗泾,金港花园（公寓）,3室2厅,127.83平米,320万,25033元/平,2016-04-06,低层/13层,简装
松江,泗泾,金港花园（公寓）,3室2厅,127.83平米,320万,25033元/平,2016-04-06,低层/13层,简装
松江,泗泾,金港花园（公寓）,3室2厅,127.83平米,320万,25033元/平,2016-04-06,低层/13层,简装
松江,松江老城,西林小区,2室1厅,78.91平米,153万,19389元/平,2016-04-06,低层/6层,中装
松江,莘闵别墅,阳光花园,4室3厅,221.9平米,500万,22532元/平,2016-04-06,地上3层,精装
松江,新桥,明月清泉新苑,4室2厅,239.21平米,438万,18310元/平,2016-04-06,地上3层,毛坯
嘉定,江桥,翔黄雅苑,1室1厅,62.0平米,160万,25806元/平,2016-04-06,低层/18层,简装
黄浦,老西门,黄浦众鑫城,3室2厅,145.18平米,1050万,72324元/平,2016-04-06,中层/29层,豪装
黄浦,南京东路,天赐公寓,2室2厅,101.53平米,385万,37919元/平,2016-04-06,中层/19层,简装
黄浦,五里桥,蒙西小区,1室0厅,34.56平米,221万,63946元/平,2016-04-06,中层/7层,简装
黄浦,五里桥,重矿大厦,3室2厅,143.0平米,680万,47552元/平,2016-04-06,高层/24层,精装
静安,静安寺,美丽园大酒店,1室1厅,49.15平米,98万,19938元/平,2016-04-06,中层/28层,精装
静安,南京西路,骏豪国际,1室1厅,50.99平米,270万,52951元/平,2016-04-06,高层/29层,
闸北,彭浦,临汾名城（二期）,2室2厅,101.02平米,580万,57414元/平,2016-04-06,中层/14层,精装
闸北,西藏北路,中心铂庭,1室1厅,46.6平米,148万,31759元/平,2016-04-06,中层/27层,精装
闸北,永和,永和二村,2室1厅,52.47平米,238万,45359元/平,2016-04-06,低层/6层,精装
闸北,永和,永和二村,2室1厅,52.47平米,238万,45359元/平,2016-04-06,低层/6层,精装
虹口,曲阳,赤峰小区,2室1厅,64.54平米,360万,55779元/平,2016-04-06,低层/24层,中装
青浦,徐泾,康虹花园（公寓）,1室2厅,66.62平米,220万,33023元/平,2016-04-06,低层/3层,简装
青浦,朱家角,中信泰富朱家角新城（公寓）,3室2厅,127.96平米,235万,18365元/平,2016-04-06,高层/4层,毛坯
青浦,赵巷,古北佘山国际别墅,4室2厅,308.42平米,1400万,45392元/平,2016-04-06,地上2层,豪装
奉贤,南桥,育秀西区,2室2厅,85.2平米,158万,18544元/平,2016-04-06,中层/6层,精装
奉贤,西渡,鸿宝一村,1室1厅,37.91平米,77万,20311元/平,2016-04-06,高层/6层,中装
奉贤,西渡,鸿宝一村,1室1厅,37.91平米,77万,20311元/平,2016-04-06,高层/6层,中装
奉贤,西渡,鸿宝一村,1室1厅,37.91平米,77万,20311元/平,2016-04-06,高层/6层,中装
浦东,高行,华高一村,1室1厅,49.12平米,165万,33591元/平,2016-04-05,高层/7层,简装
浦东,高行,华高一村,1室1厅,49.12平米,165万,33591元/平,2016-04-05,高层/7层,简装
浦东,惠南,惠南小城,2室2厅,91.16平米,175万,19197元/平,2016-04-05,低层/11层,精装
浦东,惠南,听潮一村,2室1厅,61.0平米,112万,18360元/平,2016-04-05,中层/6层,精装
浦东,金桥,联鑫坊,2室1厅,89.45平米,420万,46953元/平,2016-04-05,高层/6层,简装
浦东,金杨,金杨新村三街坊,1室1厅,43.13平米,220万,51008元/平,2016-04-05,中层/7层,精装
浦东,金杨,金杨新村三街坊,1室1厅,43.13平米,220万,51008元/平,2016-04-05,中层/7层,精装
浦东,世博,德州一村,1室0厅,30.04平米,185万,61584元/平,2016-04-05,低层/6层,精装
浦东,世博,济阳三村,1室1厅,43.72平米,180万,41171元/平,2016-04-05,中层/6层,中装
浦东,三林,三林世博家园（大道站路94弄）,2室1厅,83.51平米,355万,42509元/平,2016-04-05,高层/6层,精装
浦东,三林,三林世博家园（大道站路94弄）,2室1厅,83.51平米,355万,42509元/平,2016-04-05,高层/6层,精装
浦东,外高桥,潼港一村,1室1厅,47.54平米,146万,30710元/平,2016-04-05,中层/6层,中装
浦东,万祥镇,楼盘回收站嘉定区,1室2厅,35.0平米,130万,37142元/平,2016-04-05,低层/21层,低层/21层
浦东,张江,川杨新苑（一期）,2室2厅,77.22平米,290万,37555元/平,2016-04-05,高层/6层,毛坯
闵行,春申,莲花新村,1室1厅,50.79平米,150万,29533元/平,2016-04-05,低层/6层,
闵行,春申,莲花新村,3室2厅,68.09平米,200万,29372元/平,2016-04-05,低层/6层,简装
闵行,金汇,金坤花园,3室2厅,132.6平米,500万,37707元/平,2016-04-05,中层/6层,精装
闵行,老闵行,马桥景城乐康苑,3室2厅,103.43平米,315万,30455元/平,2016-04-05,低层/25层,精装
闵行,马桥,马桥西街小区,1室1厅,54.93平米,115万,20935元/平,2016-04-05,低层/6层,中装
闵行,颛桥,申良花园,3室2厅,118.42平米,280万,23644元/平,2016-04-05,高层/6层,中装
宝山,共富,大唐花园,2室2厅,84.62平米,190万,22453元/平,2016-04-05,高层/6层,精装
宝山,罗泾,旭辉城,3室2厅,91.73平米,160万,17442元/平,2016-04-05,高层/18层,毛坯
宝山,上大,金地艺境（宝山）,3室2厅,151.41平米,425万,28069元/平,2016-04-05,高层/32层,精装
